Name,Ticker,Country,Industry,Sector,Business Summary,Beta,Trailing PE,Forward PE,Price to Book,Market Cap,Shares Outstanding,Book Value,Trailing EPS,Forward EPS,PEG Ratio,Enterprise to Revenue,Enterprise to EBITDA,Total Revenue,Debt to Equity,Revenue per Share,Return on Assets,Return on Equity
"Athira Pharma, Inc.",ATHA,United States,Biotechnology,Healthcare,"Athira Pharma, Inc., a late clinical-stage biopharmaceutical company, focuses on developing small molecules to restore neuronal health and slow neurodegradation. Its lead product candidate is Fosgonimeton (ATH-1017), a small molecule designed to modulate the neurotrophic hepatocyte growth factor (HGF) system and its receptor, MET, for a healthy nervous system that is in LIFT-AD Phase 2/3 and ACT-AD Phase 2 clinical trials for the treatment of Alzheimer's disease, as well as is in Phase 2 clinical trials to treat Parkinson's disease dementia and Dementia with Lewy bodies. The company's product pipeline includes ATH-1020, an orally available brain-penetrant small molecule designed to enhance the HGF/MET system that is in Phase 1 clinical trials to treat neuropathic pain and neurodegenerative diseases; and ATH-1105, an oral small molecule drug candidate, which is a preclinical model for the treatment of Amyotrophic Lateral Sclerosis. In addition, it has a license agreement with Washington State University to offer for sale products covered by certain licensed patents, including dihexa, the chemical compound into which fosgonimeton metabolizes following administration; and collaboration and grant agreement with National Institutes of Health Grant to support ACT-AD Phase 2 clinical trial for fosgonimeton. The company was formerly known as M3 Biotechnology, Inc. and changed its name to Athira Pharma, Inc. in April 2019. Athira Pharma, Inc. was incorporated in 2011 and is headquartered in Bothell, Washington.",2.912,N/A,-1.6225,1.4967712,127618704,38439400,2.168,-2.97,-2,N/A,N/A,-0.285,N/A,1.688,N/A,-0.47525,-0.84566003
Alterity Therapeutics Limited,ATHE,Australia,Biotechnology,Healthcare,"Alterity Therapeutics Limited engages in the research and development of therapeutic drugs to treat Alzheimer's disease, Huntington disease, Parkinson's disease, and other neurological disorders in Australia. The company's lead drug candidate is ATH434 that is in Phase I clinical trial for the treatment of Parkinson's disease. It is also developing ATH434-201, which is in Phase II clinical trial to treat multiple system atrophy early stage; ATH434-202 that is in Phase II clinical trial to treat multiple system atrophy advance; and PBT2 that has completed Phase 2a clinical trial to treat Alzheimer's disease. The company was formerly known as Prana Biotechnology Limited and changed its name to Alterity Therapeutics Limited in April 2019. Alterity Therapeutics Limited was incorporated in 1997 and is headquartered in Melbourne, Australia.",0.711,N/A,-15.111111,226.66667,12043344,8855400,0.006,-1.26,-0.09,N/A,1107.23,-296.062,3431217,1.45,0.6,-0.28944,-0.53718
180 Life Sciences Corp.,ATNF,United States,Biotechnology,Healthcare,"180 Life Sciences Corp., a clinical stage biotechnology company, focuses on developing therapeutics for unmet medical needs in chronic pain, inflammation, fibrosis, and other inflammatory diseases. The company product development platforms includes fibrosis and anti-tumor necrosis factor (anti-TNF) platform, which has completed phase 2a and phase 2b proof-of-concept clinical trials for early-stage Dupuytren's Contracture; Synthetic Cannabidiol (CBD) Analogs platform, which are synthetic pharmaceutical grade molecules close or distant analogs of non-psychoactive cannabinoids, such as CBD for the treatment of inflammatory diseases and pain; and a7nAChR platform, an immune suppressive, that focuses on alpha 7 nicotinic acetylcholine receptor. The company is headquartered in Palo Alto, California.",0.436,N/A,-4.2608695,N/A,1987675,969602,-0.444,-11.2,-0.46,N/A,N/A,-0.136,N/A,N/A,N/A,-0.63501,-3.98577
180 Life Sciences Corp.,ATNFW,United States,Biotechnology,Healthcare,"180 Life Sciences Corp., a clinical stage biotechnology company, focuses on developing therapeutics for unmet medical needs in chronic pain, inflammation, fibrosis, and other inflammatory diseases. The company product development platforms includes fibrosis and anti-tumor necrosis factor (anti-TNF) platform, which has completed phase 2a and phase 2b proof-of-concept clinical trials for early-stage Dupuytren's Contracture; Synthetic Cannabidiol (CBD) Analogs platform, which are synthetic pharmaceutical grade molecules close or distant analogs of non-psychoactive cannabinoids, such as CBD for the treatment of inflammatory diseases and pain; and a7nAChR platform, an immune suppressive, that focuses on alpha 7 nicotinic acetylcholine receptor. The company is headquartered in Palo Alto, California.",0.436,N/A,N/A,N/A,N/A,N/A,-0.444,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.63501,-3.98577
"Atossa Therapeutics, Inc.",ATOS,United States,Biotechnology,Healthcare,"Atossa Therapeutics, Inc., a clinical-stage biopharmaceutical company, develops medicines in the areas of unmet medical need in oncology for women breast cancer and other conditions in the United States. The company's lead drug candidate is oral (Z)-endoxifen, an active metabolite of tamoxifen, which is in Phase II clinical trials to treat and prevent breast cancer. It also develops immunotherapy/chimeric antigen receptor therapy programs. The company was formerly known as Atossa Genetics Inc. and changed its name to Atossa Therapeutics, Inc. in January 2020. Atossa Therapeutics, Inc. was founded in 2008 and is headquartered in Seattle, Washington.",1.21,N/A,-5.3703704,2.2762952,182347648,125757000,0.637,-0.21,-0.27,N/A,N/A,-3.366,N/A,N/A,N/A,-0.19677,-0.28004998
Agape ATP Corporation,ATPC,Malaysia,Packaged Foods,Consumer Defensive,"Agape ATP Corporation, an investment holding company, supplies health and wellness products and health solution advisory services in Malaysia. It offers four series of programs that consist of various services and products under the ATP Zeta Health Program, ÉNERGÉTIQUE, BEAUNIQUE, and E.A.T.S. names. The company's products include ATP1s Survivor Select that contains various essential nutrients required by the human body to maintain normal metabolism; ATP3 Ionized Cal-Mag, a calcium and magnesium minerals supplement; ATP4 Omega Blend, an oil blend that provides a bio-effective balance of essential fatty acids, omega 3, and omega 6; ATP5 BetaMaxx, a natural immune enhancer; AGN-Vege Fruit Fiber, a nutrition-based formulation for intestines and stomach; AGP1-Iron to improve iron deficiency anemia; and YFA-Young Formula, an anti-aging and youthful maintenance supplement. It also provides BEAUNIQUE brand products comprising Mito+, an antioxidant drink for cellular, immune, metabolic, brain, and skin health; and Trim+, which inhibits the activities of carbohydrates digestive enzymes that result in a reduction of the breakdown and absorption of sugars. In addition, the company offers energy masks, including N°1 Med-Hydration, N°2 Med-Whitening, and N°3 Med-Firming, as well as hyaluronic acid serum and mousse facial cleanser under ÉNERGÉTIQUE brand; and soy protein isolate powder, and an antioxidant under Livo5 brand name. Further, it sells health and wellness products; and promotes wellness and wellbeing lifestyle through online editorials, programs, events, and campaigns, as well as provides health therapies. The company was incorporated in 2016 and is headquartered in Kuala Lumpur, Malaysia.",0.499,N/A,N/A,2.404762,7774495,76975200,0.042,-0.03,N/A,N/A,3.628,-2.047,1378067,11,0.018,-0.50826,-1.2161499
"Atara Biotherapeutics, Inc.",ATRA,United States,Biotechnology,Healthcare,"Atara Biotherapeutics, Inc. engages in the development of transformative therapies for patients with solid tumors, hematologic cancers, and autoimmune diseases in the United States and the United Kingdom. Its lead product includes Tab-cel (tabelecleucel), a T-cell immunotherapy program that is in Phase 3 clinical trials for the treatment of epstein-barr virus (EBV) driven post-transplant lymphoproliferative disease, as well as nasopharyngeal carcinoma. Its CAR T immunotherapy pipeline products include ATA3219, currently in Phase 1 trials, as well as ATA3431, under preclinical trials for the treatment of B-cell malignancies and autoimmune diseases; and ATA188 that is in Phase 2 clinical trials to treat multiple sclerosis. The company has research collaboration agreements with Memorial Sloan Kettering Cancer Center, and Council of the Queensland Institute of Medical Research. Atara Biotherapeutics, Inc. was incorporated in 2012 and is headquartered in Thousand Oaks, California.",0.516,N/A,-0.80159634,N/A,34845604,4915050,-22.608,-38.67,-8.77,N/A,0.833,-0.321,62387000,N/A,12.263,-0.57482,N/A
"AtriCure, Inc.",ATRC,United States,Medical Instruments & Supplies,Healthcare,"AtriCure, Inc. develops, manufactures, and sells devices for surgical ablation of cardiac tissue, exclusion of the left atrial appendage, and temporarily blocking pain by ablating peripheral nerves to medical centers in the United States, Europe, the Asia-Pacific, and internationally. The company offers Isolator Synergy Clamps, single-use disposable radio frequency products; multifunctional pens and linear ablation devices, such as the MAX Pen device that enables surgeons to evaluate cardiac arrhythmias, perform temporary cardiac pacing, sensing, and stimulation, and ablate cardiac tissue with the same device; and the Coolrail device, which enables users to make longer linear lines of ablation. It also provides cryoICE Cryoablation System that enables the user to make linear ablations of varied lengths; EPi-Sense Systems, a single-use disposable device used for the treatment of symptomatic, drug-refractory, and long-standing persistent atrial fibrillation; cryoSPHERE probe, which provides temporary pain relief by applying cryothermic energy to targeted intercoastal peripheral nerves in the ribcage; AtriClip System, an implantable device coupled to a single-use disposable applier; and LARIAT System, a suture-based solution for soft-tissue closure. In addition, the company sells Lumitip dissectors to separate tissues to provide access to key anatomical structures that are targeted for ablation; Glidepath guides for placement of clamps; Subtle Cannula's to support access for EPi-Sense catheters; and various reusable cardiac surgery instruments. It markets and sells its products through independent distributors and direct sales personnel. The company was incorporated in 2000 and is headquartered in Mason, Ohio.",1.439,N/A,-42.177418,2.7552416,1273439616,48697500,9.491,-0.86,-0.62,-1.54,2.872,-70.48,429952992,16.299,9.222,-0.0365,-0.086789995
"Avenue Therapeutics, Inc.",ATXI,United States,Biotechnology,Healthcare,"Avenue Therapeutics, Inc., a specialty pharmaceutical company, focuses on the development and commercialization of therapies for the treatment of neurologic diseases. Its product candidates include AJ201, which is in a Phase 1b/2a clinical trial for the treatment of spinal and bulbar muscular atrophy; intravenous tramadol for the treatment of post-operative acute pain; and BAER-101 for the treatment of epilepsy and panic disorders. The company was incorporated in 2015 and is based in Bay Harbor Islands, Florida.",-0.196,0.07417289,-0.8853503,0.69430566,4147899,1431360,4.004,37.48,-3.14,N/A,N/A,N/A,N/A,N/A,N/A,-2.01345,N/A
"Astria Therapeutics, Inc.",ATXS,United States,Biotechnology,Healthcare,"Astria Therapeutics, Inc., a biopharmaceutical company, focuses on the discovery, development, and commercialization of therapeutics for allergic and immunological diseases in the United States. Its lead product candidate is STAR-0215, a monoclonal antibody inhibitor of plasma kallikrein, which is in Phase 1b/2 clinical trials for the treatment of hereditary angioedema. The company is also developing STAR-0310, a monoclonal antibody OX40 antagonist that is in preclinical development for the treatment of atopic dermatitis, an immune disorder associated with loss of skin barrier function and itching. The company was formerly known as Catabasis Pharmaceuticals, Inc. and changed its name to Astria Therapeutics, Inc. in September 2021. Astria Therapeutics, Inc. was incorporated in 2008 and is headquartered in Boston, Massachusetts.",0.735,N/A,-6.681081,2.6963348,697416704,56425300,4.584,-2.39,-1.85,N/A,N/A,N/A,N/A,1.668,N/A,-0.20040001,-0.3406
"aTyr Pharma, Inc.",ATYR,United States,Biotechnology,Healthcare,"aTyr Pharma, Inc., a biotherapeutics company, engages in the discovery and development of medicines based on novel immunological pathways in the United States. Its lead therapeutic candidate is efzofitimod, a selective modulator of NRP2 that is in Phase III clinical trial for pulmonary sarcoidosis; and in Phase 1b/2a clinical trial for treatment of other interstitial lung diseases (ILDs), such as chronic hypersensitivity pneumonitis and connective tissue disease related ILD. The company is developing ATYR0101, a fusion protein derived from a domain of aspartyl-tRNA synthetase that is in preclinical development for the treatment of fibrosis; and ATYR0750, a domain of alanyl-tRNA synthetase for the treatment of liver disorders. It has collaboration and license agreement with Kyorin Pharmaceutical Co., Ltd. for the development and commercialization of efzofitimod for ILDs in Japan. aTyr Pharma, Inc. was incorporated in 2005 and is headquartered in San Diego, California.",1.249,N/A,-2.3536584,1.7920147,146286656,75796200,1.077,-0.9,-0.82,-0.16,138.557,-1.318,588000,17.011,0.009,-0.32744,-0.61764
Aurinia Pharmaceuticals Inc,AUPH,Canada,Biotechnology,Healthcare,"Aurinia Pharmaceuticals Inc., a commercial-stage biopharmaceutical company, focuses on developing and commercializing therapies to treat various diseases with unmet medical need in the United States. It offers LUPKYNIS for the treatment of adult patients with active lupus nephritis. It has a collaboration and license agreement with Otsuka Pharmaceutical Co., Ltd. The company was incorporated in 1993 and is headquartered in Edmonton, Canada.",1.449,N/A,15.9761915,2.6313727,965179840,142991008,2.55,-0.35,0.42,N/A,3.453,-26.342,207104992,23.582,1.443,-0.054840002,-0.13304
"Aura Biosciences, Inc.",AURA,United States,Biotechnology,Healthcare,"Aura Biosciences, Inc., a clinical-stage biotechnology company, develops precision immunotherapies to treat a range of solid tumors. The company's proprietary platform enables the targeting of a range of solid tumors using virus-like particles conjugated with drugs or loaded with nucleic acids to create virus-like drug conjugates. Its lead candidate is bel-sar, which is in late-stage clinical development for the treatment of patients with primary choroidal melanoma and other ocular oncology indications, as well as in early-stage clinical development in bladder cancer. The company also focuses on assessing the safety and efficacy of bel-sar in treating a range of other solid tumors, including bladder cancer as an alternative to bacillus calmetteguérin therapy. Aura Biosciences, Inc. was incorporated in 2009 and is headquartered in Boston, Massachusetts.",0.392,N/A,-3.9743588,2.007252,384447264,49606100,3.861,-1.79,-1.95,N/A,N/A,-2.426,N/A,9.942,N/A,-0.27477,-0.4509
Autolus Therapeutics plc,AUTL,United Kingdom,Biotechnology,Healthcare,"Autolus Therapeutics plc, a clinical-stage biopharmaceutical company, develops T cell therapies for the treatment of cancer and autoimmune diseases. The company's clinical-stage programs include obecabtagene autoleucel (AUTO1), a CD19-targeting programmed T cell investigational therapy that is in Phase 1b/2 clinical trial for the treatment of adult ALL; AUTO1/22, which is in a Phase 1 clinical trial in pediatric patients with relapsed or refractory ALL; AUTO4, a programmed T cell investigational therapy for the treatment of peripheral T-cell lymphoma targeting TRBC1 and TRBC2; AUTO6NG, a programmed T cell investigational therapy targeting GD2 in development for the treatment of neuroblastoma; and AUTO8, a product candidate to treat multiple myeloma. It focuses on developing AUTO5, a preclinical TRBC2 programmed T cell product candidate for the treatment of peripheral T-cell lymphoma. Autolus Therapeutics plc was incorporated in 2014 and is headquartered in London, the United Kingdom.",2.106,N/A,-5.8382354,2.001008,1061716992,266094000,1.984,-1.14,-0.68,N/A,60.888,-3.432,10497000,54.691,0.049,-0.18497999,-0.61804
Aveanna Healthcare Holdings Inc,AVAH,United States,Medical Care Facilities,Healthcare,"Aveanna Healthcare Holdings Inc., a diversified home care platform company, provides pediatric and adult healthcare services in the United States. Its patient-centered care delivery platform allows patients to remain in their homes and minimizes the overutilization of high-cost care settings, such as hospitals or skilled nursing facilities. The company operates through three segments: Private Duty Services (PDS), Home Health & Hospice (HHH), and Medical Solutions (MS). The PDS segment offers PDN services, which include in-home skilled nursing services to medically fragile children and adults; nursing services in school settings in which its caregivers accompany patients to school; services to patients in its pediatric day healthcare centers; and employer of record support and personal care services, as well as in-clinic and home-based therapy services, such as physical, occupational, and speech services. The HHH segment provides home health services, including in-home skilled nursing services; physical, occupational, and speech therapy services; and medical social and aide services, as well as hospice services for patients and their families when a life-limiting illness no longer responds to cure-oriented treatments. The MS segment offers enteral nutrition supplies and other products, including formulas, supplies, and pumps to adults and children delivered on a periodic or as-needed basis. The company was incorporated in 2016 and is headquartered in Atlanta, Georgia.",2.088,N/A,109.799995,N/A,1080091520,193224992,-0.61,-0.67,0.05,-29,1.29,19.564,1952461952,N/A,10.188,0.043530002,N/A
"ArriVent BioPharma, Inc.",AVBP,United States,Biotechnology,Healthcare,"ArriVent BioPharma, Inc. operates as a clinical-stage biopharmaceutical company that engages in the identification, development, and commercialization of medicines for the unmet medical needs of patients with cancers in the United States. It also engages in the development and commercialization of targeted cancer therapies for non-small cell lung cancer (NSCLC) and other solid tumors. In addition, the company develops Furmonertinib, a third-generation tyrosine kinase inhibitor that is in multiple clinical trials across a range of epidermal growth factor receptor mutations (EFGRm) in non-small cell lung cancer (NSCLC), including a phase 3 clinical trial for treatment of patients with metastatic EFGRm NSCLC; phase 1b clinical trial for treatment of patients with NSCLC with other EGFR mutations and NSCLC with HER2 Exon 20 insertion mutations; and ARR-002. It has strategic collaborations with Aarvik Therapeutics Inc. to discover and develop antibody drug conjugates (ADCs) with improved activity and safety over single target bivalent ADCs; and Shanghai Allist Pharmaceuticals Co., Ltd. to develop and commercialize Furmonertinib. The company was incorporated in 2021 and is based in Newtown Square, Pennsylvania.",N/A,N/A,-10.31698,3.088219,918238528,33585900,8.853,-2.24,-2.65,N/A,N/A,N/A,N/A,0.084,N/A,-0.21224001,-0.31028
Avadel Pharmaceuticals plc,AVDL,Ireland,Drug Manufacturers - Specialty & Generic,Healthcare,"Avadel Pharmaceuticals plc operates as a biopharmaceutical company in the United States. Its lead product candidate is LUMRYZ, a formulation of sodium oxybate, which is in a Phase 3 clinical trial for the treatment of excessive daytime sleepiness or cataplexy in adults with narcolepsy. The company was formerly known as Flamel Technologies SA and changed its name to Avadel Pharmaceuticals plc in January 2017. Avadel Pharmaceuticals plc was incorporated in 2015 and is headquartered in Dublin, Ireland.",N/A,N/A,24.205881,22.517097,1587499520,96270496,0.731,-1.09,0.68,-2.34,16.3,-15.951,95149000,53.59,1.036,-0.34445,-0.99517
"Avinger, Inc.",AVGR,United States,Medical Instruments & Supplies,Healthcare,"Avinger, Inc., a commercial-stage medical device company, designs, manufactures, and sells a suite of image-guided and catheter-based systems used by physicians to treat patients with peripheral artery disease (PAD) primarily in the United States and Germany. The company develops lumivascular platform that integrates optical coherence tomography visualization with interventional catheters to provide real-time intravascular imaging during the treatment portion of PAD procedures. Its lumivascular products comprise Lightbox imaging consoles; the Ocelot and Tigereye family of devices, which are designed to allow physicians to penetrate a total blockage in an artery; and Pantheris, an image-guided atherectomy device that allows physicians to precisely remove arterial plaque in PAD patients. The company is also developing IMAGE-BTK for the treatment of PAD lesions below-the-knee. It markets and sells its products to interventional cardiologists, vascular surgeons, and interventional radiologists. The company was incorporated in 2007 and is based in Redwood City, California.",1.261,N/A,-1.042373,0.30400395,2816958,2183690,4.046,-9.19,-1.18,N/A,-0.031,0.013,7429000,74.229,3.876,-0.6522,-33.32588
"Atea Pharmaceuticals, Inc.",AVIR,United States,Biotechnology,Healthcare,"Atea Pharmaceuticals, Inc., a clinical-stage biopharmaceutical company, discovers, develops, and commercializes antiviral therapeutics for patients with viral infections. Its lead product candidate is AT-527, an oral antiviral candidate that is in Phase 3 SUNRISE-3 clinical trial for the treatment of patients with COVID-19. The company also develops bemnifosbuvir in combination with ruzasvir, which is in Phase 2 clinical trial, for the treatment of hepatitis C virus (HCV); and a protease inhibitor for the treatment of COVID-19. It has a license agreement with MSD International GmbH for the development, manufacture, and commercialization of Ruzasvir, an NS5A inhibitor, for the treatment of HCV. Atea Pharmaceuticals, Inc. was incorporated in 2012 and is headquartered in Boston, Massachusetts.",0.174,N/A,-1.5486382,0.7051736,335999552,84422000,5.644,-2.1,-2.57,N/A,N/A,1.328,N/A,0.425,N/A,-0.13646,-0.32628
"Aerovate Therapeutics, Inc.",AVTE,United States,Biotechnology,Healthcare,"Aerovate Therapeutics, Inc., a clinical-stage biopharmaceutical company, develops drugs that enhance the lives of patients with rare cardiopulmonary diseases in the United States. It focuses on advancing AV-101, a dry powder inhaled formulation of imatinib for the treatment of pulmonary arterial hypertension, which is in Phase 2b/Phase 3 trial. The company was incorporated in 2018 and is headquartered in Waltham, Massachusetts.",1.021,N/A,-1.95,0.596148,56292016,28867700,3.271,-3.13,-1,N/A,N/A,0.502,N/A,0.721,N/A,-0.44035,-0.74421
"Avalo Therapeutics, Inc.",AVTX,United States,Biotechnology,Healthcare,"Avalo Therapeutics, Inc., a clinical stage biotechnology company, focuses on the development of therapies for the treatment of immune dysregulation in the Unites States. The company's drug candidates include AVTX-009, an Anti-IL-1ß monoclonal antibody which is under Phase I targeting inflammatory diseases; and AVTX-008, a fully human B and T lymphocyte attenuator agonist fusion protein for the treatment of immune dysregulation disorders. It also develops Quisovalimab (AVTX-002), an Anti-LIGHT mAb which is in phase II for immune-inflammatory diseases. The company was formerly known as Cerecor Inc. and changed its name to Avalo Therapeutics, Inc. in August 2021. Avalo Therapeutics, Inc. was incorporated in 2011 and is headquartered in Rockville, Maryland.",1.127,N/A,-1.5243902,N/A,10341300,1034130,-13.159,-7067.85,-6.56,N/A,-86.613,3.17,807000,N/A,1.114,-0.20938,N/A
Anavex Life Sciences Corp.,AVXL,United States,Biotechnology,Healthcare,"Anavex Life Sciences Corp., a clinical stage biopharmaceutical company, engages in the development of therapeutics for the treatment of central nervous system diseases. Its lead product candidate is ANAVEX 2-73 for the treatment of Alzheimer's disease and Parkinson's disease, as well as other central nervous system diseases, including rare diseases, such as Rett syndrome, a rare severe neurological monogenic disorder; and infantile spasms, Fragile X syndrome, and Angelman syndrome. The company's drug candidate also comprises ANAVEX 3-71, which is in clinical trial for the treatment of schizophrenia, frontotemporal dementia, and Alzheimer's disease. Its preclinical drug candidates include ANAVEX 1-41 for the treatment of depression, stroke, and neurogenerative disease; ANAVEX 1066 for the potential treatment of neuropathic and visceral pain; and ANAVEX 1037 to treat prostate and pancreatic cancer. The company was incorporated in 2004 and is headquartered in New York, New York.",0.632,N/A,-10.095239,4.1541476,539299392,84795504,1.531,-0.51,-0.63,N/A,N/A,N/A,N/A,N/A,N/A,-0.20433001,-0.30034
Aspira Women's Health Inc.,AWH,United States,Diagnostics & Research,Healthcare,"Aspira Women's Health Inc., together with its subsidiaries, discovers, develops, and commercializes of noninvasive AI-powered diagnostic tests for gynecologic diseases in the United States. The company's products include Ova1Plus, a qualitative serum test to assess the likelihood of malignancy in women with an ovarian adnexal mass; Overa, a biomarker test intended to maintain Ova1's high sensitivity; and OvaWatch, a laboratory developed tests to assist in the initial clinical assessment of malignancy risk in all women thought to have an indeterminate or benign adnexal mass. It is also developing OvaMDx, a multi-marker test that combines serum proteins, clinical data, and miRNA for assessing the risk of ovarian cancer in women with an adnexal mass; EndoCheck, a protein biomarker designed to identify ovarian endometriomas; and EndoMDx for the identification of endometriosis. The company also operates Aspira Labs, a laboratory that specializes in applying biomarker-based technologies to address critical needs in the management of gynecologic cancers and disease. The company serves physicians, physician office laboratories, and national and regional laboratories. The company distributes its products through its national sales force, its platform Aspira Synergy, and a marketing and distribution agreement with BioReference Health, LLC. It has a research agreement with Harvard's Dana-Farber Cancer Institute, Brigham and Women's Hospital, and Medical University of Lodz for the generation of a multi-omic, non-invasive diagnostic aid to identify endometriosis based on circulating miRNAs and proteins; and a strategic alliance with Quest Diagnostics, Incorporated. The company was formerly known as Vermillion, Inc. and changed its name to Aspira Women's Health Inc. in June 2020. Aspira Women's Health Inc. was incorporated in 1993 and is based in Austin, Texas.",1.54,N/A,-1.6769232,N/A,17508562,16062900,-0.289,-1.42,-0.65,N/A,2.119,-1.098,8923000,N/A,0.801,-1.85708,N/A
"AxoGen, Inc.",AXGN,United States,Medical Devices,Healthcare,"AxoGen, Inc., together with its subsidiaries, develops and commercializes technologies for peripheral nerve regeneration and repair worldwide. The company's products include Avance Nerve Graft, a biologically active off-the-shelf processed human nerve allograft for bridging severed peripheral nerves without the comorbidities associated with a second surgical site; AxoGuard Nerve Connector, a porcine submucosa extracellular matrix (ECM) coaptation aid for tensionless repair of severed peripheral nerves; AxoGuard Nerve Protector, a porcine submucosa ECM product that is used to wrap and protect damaged peripheral nerves, as well as reinforces the nerve reconstruction while preventing soft tissue attachments; and Axoguard HA+ Nerve Protector, a processed porcine submucosa ECM base layer with a hyaluronate-alginate gel coating designed to provide short- and long-term protection for peripheral nerve injuries. Its products also comprise Axoguard Nerve Cap, a porcine submucosa ECM product that is used to protect a peripheral nerve end, as well as separates the nerve from the surrounding environment to reduce the development of symptomatic or painful neuroma; and AxoTouch two-point discriminator, a tool that is used for measuring the innervation density of surface area of the skin. The company provides its products to hospitals, surgery centers, and military hospitals, plastic reconstructive surgeons, orthopedic and plastic hand surgeons, and various oral and maxillofacial surgeons. AxoGen, Inc. is headquartered in Alachua, Florida.",1.104,N/A,74.47059,5.7993584,554885248,43829800,2.183,-0.39,0.17,N/A,3.489,-100.04,173482000,74.709,4.011,-0.04009,-0.17152001
"Axonics, Inc.",AXNX,United States,Medical Devices,Healthcare,"Axonics, Inc., a medical technology company, engages in the development and commercialization of novel products for the treatment of bladder and bowel dysfunction. Its sacral neuromodulation (SNM) systems are used to treat patients with overactive bladder (OAB), including urinary urge incontinence and urinary urgency frequency, as well as fecal incontinence (FI) and non-obstructive urinary retention (UR); and rechargeable (R20) and recharge-free (F15) implantable SNM systems that delivers mild electrical pulses to the targeted sacral nerve to restore normal communication to and from the brain to reduce the symptoms of OAB, UR, and FI. The company also offers Bulkamid, a urethral bulking agent to treat female stress urinary incontinence. It sells its products through a direct sales force and distributors in the United States, the United Kingdom, Germany, the Netherlands, Nordic countries, and internationally. The company was formerly known as Axonics Modulation Technologies, Inc. and changed its name to Axonics, Inc. in March 2021. Axonics, Inc. was incorporated in 2012 and is based in Irvine, California.",0.833,N/A,109.12698,5.4520226,3523568128,51118100,12.61,-0.02,0.63,4.02,7.836,431.784,408808992,5.045,8.152,-0.00457,-0.00275
"Axsome Therapeutics, Inc.",AXSM,United States,Biotechnology,Healthcare,"Axsome Therapeutics, Inc., a biopharmaceutical company, engages in the development of novel therapies for central nervous system (CNS) disorders in the United States. The company's commercial product portfolio includes Auvelity (dextromethorphan-bupropion), a N-methyl-D-aspartate receptor antagonist with multimodal activity indicated for the treatment of major depressive disorder; and Sunosi (solriamfetol), a medication indicated to the treatment of excessive daytime sleepiness in patients with narcolepsy or obstructive sleep apnea. It is also developing AXS-05, which is in Phase III clinical trial to treat Alzheimer's disease agitation, as well as that has completed phase II clinical trial for the treatment of smoking cessation; AXS-07, an investigational medicine that has completed Phase III trials for the acute treatment of migraine; AXS-12, an investigational medicine, which is in Phase III trial to treat narcolepsy; AXS-14, a selective and potent norepinephrine reuptake inhibitor that has completed Phase III trial for the treatment of fibromyalgia and other conditions; and solriamfetol, a dual-acting dopamine and norepinephrine reuptake inhibitor, which has completed a Phase 2 trial for treating attention-deficit/hyperactivity disorder, and is in phase 2 major depressive, binge eating, and shift work disorder. Axsome Therapeutics, Inc. has a research collaboration agreement with Duke University for evaluating AXS-05 in smoking cessation. The company was incorporated in 2012 and is based in New York, New York.",1.254,N/A,-49.172226,41.129185,4248497920,48000200,2.152,-6.62,-1.8,-0.08,14.15,-15.78,291488992,186.482,6.154,-0.2823,-1.61691
"Aytu BioPharma, Inc.",AYTU,United States,Drug Manufacturers - Specialty & Generic,Healthcare,"Aytu Biopharma, Inc., a commercial-stage pharmaceutical company, focuses on commercializing novel therapeutics and consumer healthcare products the United States and internationally. The company operates through two segments: Rx segment and Consumer Health segment. The Rx segment offers prescription products for the treatment of attention deficit hyperactivity disorder (ADHD), including Adzenys XR-ODT for patients from six years and older, and Cotempla XR-ODT for patients from six to seventeen years old. The segment also provides pediatric prescription product portfolio comprising Karbinal ER, an extended-release carbinoxamine (antihistamine) suspension indicated to treat numerous allergic conditions for patients two years and above; and Poly-Vi-Flor and Tri-Vi-Flor complementary prescription fluoride-based multi-vitamin products containing combinations of fluoride and vitamins in liquid and chewable tablet form for infants and children with fluoride deficiency. The Consumer Health segment is involved in the commercialization of over-the-counter medicines, personal care products, and dietary supplements in various categories, such as hair loss, digestive health, urological health, diabetes management, and allergy. The segment offers Regoxidine - for Men and Women, a proprietary over-the-counter aerosol foam that works to treat hair loss in both men and women; and OmepraCareDR and EsomepraCareDR, acid reducers for the treatment of frequent heartburn. It also engages in the development of AR101 (enzastaurin), an orally available investigational first-in-class small molecule, serine/threonine kinase inhibitor targeting the treatment of vascular Ehlers-Danlos Syndrome. The company was formerly known as Aytu BioScience, Inc. and changed its name to Aytu Biopharma, Inc. in March 2021. Aytu Biopharma, Inc. is based in Denver, Colorado.",-1.412,N/A,3.6461537,0.42872646,14572466,5972330,5.528,-2.37,0.65,N/A,0.129,1.22,93758000,60.539,18.209,0.00656,-0.38176
