symbol,company,10차표준(세분류),주요상품,영업현황
A101360,에코앤드림,기타 화학제품 제조업,배출가스 저감용 촉매 및 이차전지 양극활물질 전구체,"
투자 비용 상승

동사는 화학소재 전문기업으로, 기초화학기반 핵심 소재 개발을 통해 촉매시스템에 사용되는 원천 기술을 개발하여 상용화에 성공함. 주요 사업부문은 촉매, 촉매시스템, 2차전지 사업으로 구분되며, 자동차용 매연저감 장치를 지자체에 공급하는 촉매시스템이 가장 높은 매출 비중을 차지하고 있음. 신규 성장 동력인 2차전지용 양극화물질 전구체 개발을 완료하였으며, 소입경 전구체의 사용량 증가에 따라 양극활물질 전구체 증설을 완료하였음.2023년 12월 전년동기 대비 연결기준 매출액은 15% 감소, 영업이익 적자전환, 당기순이익 적자전환. 동사는 6월 9일 2차전지 전구체 생산시설 확보를 목적으로 새만금 산업단지 내 4만평 규모 토지 취득을 공시함. CRMA 법안 시행에 따라 양극재 전구체의 공급망 재편 진행 중. 24년 1월 고객사와의 전구체 공급계약을 통하여 전구체 양산 공급을 시작하였음. 24년에는 전구체 매출이 본격적으로 발생할 것으로 예상됨.

"
A052020,에스티큐브,기계장비 및 관련 물품 도매업,"전자부품, 정보통신기기, 지능형로봇외","
바이오 부문 임상 지속

항암면역치료제, 면역관문억제제, 항체 및 저분자 화합물 치료 등의 혁신 바이오 신약개발 사업부문과 산업용 LENS, 소형 LCD모니터 및 프린터등의 수입,유통 하는 IT사업부문을 영위하고 있음. 면역관문억제제 'hSTC810'가 글로벌 임상을 진행하고 있으며, 2023년 2월 임상 1상을 성공적으로 완료하였음 한국식품의약품안전처와 미국 FDA에 2023년 8월 임상1b/2상 IND를 변경승인 신청하였고, 2023년 9월 승인받음.2023년 12월 전년동기 대비 연결기준 매출액은 7.5% 감소, 영업손실은 37.7% 증가, 당기순손실은 29.7% 증가. 동사의 항암 면역관문억제제 혁신신약  'Nelmastobart'(hSTC810) 글로벌 임상1상의주된 목적인 안전성을 확보함으로서 임상 1상을 사실상 성공적으로 완료함. 동사는 임상1상 결과를 토대로 한국 식품의약품안전처 및 미국 FDA 임상1b/2상을 동시에 진행함.

"
A089010,켐트로닉스,기타 화학제품 제조업,"Touch IC 및 PBA, TG, EMC","
외형 축소에 따른 영업이익 감소

1983년 설립되어 전자 및 화학사업을 영위하고 있음. 동사가 영위하는 사업부문은 전자사업, 화학사업, 태양광사업이 있음. 전자사업은 전자부품 사업부문, 무선충전 사업부문, 자율주행 사업부문으로 구분되며, 화학사업은 케미칼 사업부문, 디스플레이 사업부문으로 구분됨. 2023년 말 기준 자율주행연구소를 통해 국책과제를 포함한 13건의 연구개발활동이 진행되고 있음.2023년 12월 전년동기 대비 연결기준 매출액은 12.7% 감소, 영업이익은 14.9% 감소, 당기순이익 적자전환. 2022년 전자부품 사업은 동사 자율주행 사업과 기술 시너지로 카메라를 개발해 삼성전자 전략모델인 스마트모니터에 카메라 모듈을 공급하였으며 2023년에는 TV까지 확대 적용함. 나아가 현재 가전제품용 카메라인 AI카메라를 개발 및 양산 중이며 2024년에는 가전제품 진입을 목표로 하고 있음.

"
A092220,KEC,"다이오드, 트랜지스터 및 유사 반도체소자 제조업",반도체 제조,"
IT제품 소비 둔화로 수출 급감

동사는 반도체제품 및 부품 제조업을 영위할 목적으로 기존법인인 주식회사 케이이씨로부터 제조사업부문이 2006년 9월 9일자로 인적분할되어 설립됨. 주요 제품은 반도체 사업부문으로 TF 등 전력제어 전류증폭과 반도체설비가 있음. 초소형 Package 개발, 모바일화 및 디지털화 요구에 부응한 저 소비전력 제품 개발과 미국 및 유럽 시장 등 시장 개척에 총력을 기울이고 있음.2023년 12월 전년동기 대비 연결기준 매출액은 19.2% 감소, 영업이익 적자전환, 당기순이익 적자전환. 2023년은 팬데믹 특수 종료에 따른 역기저효과로 인한 경기침체로 수요 감소, 재고 조정 등 매출 감소에 영향을 줌. 구미공장 648억원, 태국공장 232억원의 투자 실행으로 반도체 부품의 국산화하여 전자부품 산업의 공급망 안정화에 기여하고, 생산능력 확대 및 기술경쟁력을 강화하고자 함.

"
A289220,자이언트스텝,"영화, 비디오물 및 방송프로그램 제작업","광고VFX, 영상VFX 및 리얼타임 콘텐츠 제작","
연구개발비 증가로 수익성 악화

동사는 광고 VFX , 영상 VFX 및 리얼타임 콘텐츠 솔루션에 이르기까지 다양한 콘텐츠를 제작하는 AI기반의 리얼타임 콘텐츠 솔루션 전문기업임. 기존의 아날로그 미디어와 새로운 디지털 미디어의 시각적 결과물을 다양한 클라이언트와 소비자의 요구에 맞춰 리서치, 컨설팅, 기획 및 제작하여 최상의 그래픽 결과물을 만들어 내고 있음. 버추얼 프로덕션 솔루션, 대화 및 반응형 버추얼휴먼OS 제작 등의 사업을 전개하고 있음.2023년 12월 전년동기 대비 연결기준 매출액은 4.2% 증가, 영업손실은 45.9% 증가, 당기순손실은 100.5% 증가. 광고VFX, 전시/공간 사업 매출 증가 및 계열회사 매출 증가하였으나, 연구개발(R&D) 비용 증가로 영업손실의 적자 폭은 크게 확대됨. 2023년도에는 기존 수주기반 구조에서 벗어나 새로운 사업 모델을 개발하는데 주력했으며, 대표적으로 'Full 3D 온라인 B2C 서비스' 오픈을 앞두고 있음.

"
A001880,DL건설,건물 건설업,#N/A,#N/A
A100790,미래에셋벤처투자,그 외 기타 금융업,중소기업 창업투자 관련 고유계정/투자조합 관련 수익,"
외형 축소로 수익성 부진

동사는 소기업창업투자회사로서 중소기업창업투자조합 등 조합 결성을 통한 창업자 및 중소벤처기업 투자를 주력 사업으로 영위하고 있는 벤처캐피탈(Venture Capital, VC)임. 동사는 설립 이래 총 51개의 VC투자조합(VCF) 및 6개의 기관전용 사모집합투자기구(PEF)에 약 19,603억원(VCF 14,300억원 / PEF 5,303억원)의 재원을 누적 결성함. 지속 가능한 '투자-회수-재투자'로 이어지는 선순환구조 달성.2023년 12월 전년동기 대비 연결기준 매출액은 0.4% 감소, 영업이익은 46.1% 감소, 당기순이익은 56.3% 감소. 외형은 전년도 수준을 유지하고 있으며, 당기손익-공정가치측정금융자산 관련손익이 감소의 영향으로 영업이익은 감소세를 보임. 동사는 총 2000억 규모를 AI 생태계 전반에 투자를 진행했으며, AI산업 성장과 함께 높은 투자 성과를 기대함.

"
A003220,대원제약,완제 의약품 제조업,"의약품(해열소염진통제,진해거담제,동맥경화용제,혈압강하제 등), 건강기능식품(프로바이오틱스 등)","
매출은 늘었지만 영업이익은 감소

동사는 의약품 제조 및 판매를 주요 사업으로 영위하는 업체이며, 신약/개량신약/제네릭의약품 등을 국내 병/의원/약국을 대상으로 공급하고 있음. 선진 GMP급 생산시설과 특화된 제품력을 기반으로 국내 유수의 제약기업의 의약품을 생산/납품하는 수탁(CMO) 사업과, 세계 시장에 완제의약품 및 의료기기 등을 수출하는 해외사업을 영위. 국내 최초의 짜먹는 감기약 콜대원으로 대표되는 일반의약품 사업 진행 중.2023년 12월 전년동기 대비 연결기준 매출액은 10% 증가, 영업이익은 25% 감소, 당기순이익은 25.1% 감소. 영업이익과 당기순이익은 322억원, 235억원을 기록. 영업이익률 6.1%, 순이익률 4.5%로 전기 영업이익률 9%, 순이익률 6.4% 대비 소폭 감소했음. 수익성 기반의 성장을 기조로 생산성 강화에 집중함과 동시에 시장 환경 변화에 발 빠르게 대응하기 위해 경영 체계 혁신을 진행 중임.

"
A025770,한국정보통신,기타 전기 통신업,"신용카드부가통신업(VAN),전자지급결제대행업(PG)","
매출 호조로 영업이익 증가

금융VAN산업은 가맹점과 카드사간 결제망시스템을 구축하여 카드사용 승인중계 및 카드전표 매입 업무를 하는 부가통신산업임. 카드단말기 및 POS시스템이 설치된 가맹점 네트워크와 카드사, 은행, 정유사, 포인트 제공사 등과 연결된 대외 인터페이스, 그리고 이들을 연결하는 VAN시스템을 통해 부가가치를 창출함. 사업부문별 매출은 2023년 4분기 기준 금융VAN 부문이 99%로 압도적으로 큼.2023년 12월 전년동기 대비 연결기준 매출액은 21.8% 증가, 영업이익은 31.5% 증가, 당기순이익은 37.8% 증가. 적극적인 원가 절감 및 부가서비스 발굴 등으로 수익성 개선을 중점으로 한 신용카드 부가통신사업(VAN)과 취급고 확대 전략을 통해 전년 대비 매출이 크게 늘어남. 동사 경쟁우위 요소인 EasyPOS 기술력을 기반으로 호텔 OPI 등 가맹점 업종 특화 솔루션을 제공 중.

"
A089890,코세스,반도체 및 디스플레이 제조용 기계 제조업,반도체SolderBall부착장비등,"
향후 레이저리페어 장비의 매출 기대

동사는 1994년 설립되어, 반도체 후공정장비인 Solar Ball Attach System 장비, 레이저 응용장비와 OLED 제조공정의 레이저 응용 장비 등을 제조하는 업체임. 대표적인 고객사로 삼성전자, SK하이닉스 등 국내 고객과 EDO, Partron 등 다국적 반도체 페키징 전문기업이 있음. 매출구성은 장비 등의 제품 99.9%, 기타 0.1% 등으로 이루어져 있음.2023년 12월 전년동기 대비 별도기준 매출액은 31.2% 증가, 영업이익은 6.2% 감소, 당기순이익은 11.6% 감소. 동사가 보유한 레이저 커팅 기술 수요가 급증함에 따라 레이저 커팅 장비의 매출 성장세가 두드러지고 있는 추세임. 차세대 디스플레이로 부각되는 마이크로 LED 제조 공정에 필요한 레이저 리페어 장비도 공급하고 있으며, 향후 차세대 디스플레이 시장의 확대가 예상됨에 따라 레이저 리페어 장비의 매출이 기대됨.

"
A235980,메드팩토,자연과학 연구개발업,항암제 신약개발,"
영업손실 및 당기순손실 지속

동사는 2013년 6월 설립되었으며 전문의약품, 항암제, 면역항암제 등을 개발하고 있음. 동사는 2013년 6월 설립되었으며 전문의약품, 항암제, 면역항암제 등을 개발하고 있음. First-in-class 신약후보물질을 개발하고 임상 진행 중. 또한 동사가 개발 중인 파이프라인 중 백토서팁은 임상2상에 진행 중에 있으며 2021년부터 본격적인 기술이전 협의가 진행될 것으로 예상됨.2023년 12월 전년동기 대비 연결기준, 영업손실은 22.7% 감소, 당기순손실은 1.2% 감소. 동사가 개발 중인 암 진단키트가 국내 특허에 이어 일본, 유럽 특허 등록됨. 이를 통해 글로벌 시장 공략해 매출 성장이 기대됨. 파이프라인의 다변화를 위해 MPD-001 등의 후속 파이프라인 연구개발을 추진 중이며 현재 4개의 신규 타겟을 발굴하여 신약 후보물질 개발 계획 중.

"
A033100,제룡전기,"전동기, 발전기 및 전기 변환장치 제조업","송배전용금구류,변압기","
미국 시장 호황으로 실적 개선

동사는 1986년 12월 18일에 설립되었으며 1997년 8월 18일자로 코스닥시장에 상장됨. 당사는 지속성장을 위한 합리적인 설비투자, 고숙련 인력 육성, 생산효율 극대화 등을 통하여 납기안정성 제고 및 CAPA 확대를 추진 중임. 중전기부문의 주요 원재료 구입처인 포스코(POSCO)의 가격 변동과 런던금속거래소(LME)에서 결정되는 동 가격 등의 영향을 직ㆍ간접적으로 받고 있음.2023년 12월 전년동기 대비 별도기준 매출액은 113.7% 증가, 영업이익은 338.9% 증가, 당기순이익은 351.8% 증가. 2023년도 미국 내 전력수요 증가 및 전력망 노후화에 따라 수출 호조를 보였으며, 국내시장의 경우에는 건설경기 악화 등으로 시장환경이 좋지 않았음. 2024년도에도 국내시장은 좋지 않을 것으로 예상. 고마진 중심 선별 수주를 실시할 예정.

"
A027360,아주IB투자,기타 금융업,,"
다양한 분야 발굴로 높은 수익 달성

동사는 신기술사업투자조합, 벤처투자조합, 기관전용 사모펀드(PEF)를 모두 운용함으로써 벤처캐피탈 사업과 PE 사업을 동시에 영위하고 있음. 2013년부터 미국 바이오/헬스케어 산업을 시작으로 본격적인 해외 투자를 진행하고 성공적인 실적을 시현하고 있음. IT융·복합, 바이오/헬스케어, 소비재 및 Secondary펀드 등 다양한 분야의 펀드결성으로 벤처캐피탈로서의 투자실적과 경쟁력을 인정받음.2023년 12월 전년동기 대비 연결기준 매출액은 16.3% 증가, 영업이익은 265.9% 증가, 당기순이익은 714.2% 증가. IT융·복합, 바이오/헬스케어, 소비재 및 Secondary펀드 등 다양한 분야의 펀드결성을 통한 안정적인 매출로 높은 수익성을 보유하고 있음. 2023년 12월말 기준 미국 내 39개 업체에 대한 투자를 완료하였으며, 19개 업체가 나스닥에 상장되었음.

"
A000430,대원강업,자동차 엔진용 신품 부품 제조업,"차량용스프링,기계부속,시트,타이어체인,합성수지제품,철도용스파이크 제조,도매","
주식 처분 이익으로 수익 개선

동사는 1946년 9월 20일에 설립되었으며 차량용/산업용 스프링과 차량용 시트 제작/판매를 사업 목적으로 하고 있음. 국내 유일의 종합 스프링 메이커인 동사는 스프링 일괄 생산 체제를 갖추고 생산성 향상, 원가 절감 및 관련 기술의 연구에 주력하고 있음. 현재 동남아시아, 인도, 중국 및 유럽 등 여러 회사와 스프링 제조기술 이전에 관한 기술 제휴 계약을 체결하고 있음.2023년 12월 전년동기 대비 연결기준 매출액은 8% 증가, 영업이익은 168.3% 증가, 당기순이익은 62.5% 증가. 차량용 반도체 수급 개선과 누적된 이연 수요의 해소로 인한 국내외 완성차 생산 증가에 힘입어 전체 매출이 늘어남. 관계기업에서 제외된 대코 관련 관계기업투자주식처분이익 62억원 발생하는 등 이익 실현. 글로벌 현지 생산체제를 구축하고 해외 신규 거래선 개척을 위한 적극적인 수주 활동을 전개 중.

"
A039840,디오,기타 의료용 기기 제조업,자동포장기계,"
매출 증가, 영업이익 흑자전환

1988년 설립되어 의료기기와 인공치아용 임플란트 제품을 생산 및 판매하는 사업을 영위함. 동사가 공급하는 주력 제품군은 임플란트, DIONavi., Digtal 교정장치, 디지털 보철솔루션 등 총 4개 부문임. 치과용 임플란트 판매를 주 사업목적으로 DIO CENTRAL EUROPE Kft.(Hungary)라는 계열회사가 2023년 2월에 설립되었으며, 현재 동사가 보유한 지분율은 100%임.2023년 12월 전년동기 대비 연결기준 매출액은 18.7% 증가, 영업이익 흑자전환, 당기순이익 흑자전환. 중국 물량조달계획(VBP) 개시와 미국 네트워크 치과(DSO) 계약에 따라 매출 확대가 기대됨. 지난 2022년 6월 Heartland와 계약한 이래로 DSO 영업 개시한지 1년이 경과하였으며, 다른 업체들과의 계약 또한 연이어 체결됐고, 미국, 이란을 중심으로 한 안정적인 매출 성장이 나타나고 있음.

"
A117730,티로보틱스,반도체 및 디스플레이 제조용 기계 제조업,"중대형 시스템, 중대형 로봇","
매출원가 및 판관비 증가

동사는 2004년 설립이후 구축한 글로벌 진공로봇 전문기업에서, 자율주행과 의료재활 분야에 대비한 종합로봇기업으로 변화 중. 주요 사업으로는 글로벌 FPD/Semi제조사 및 장비사를 고객으로 확보한 진공로봇 부문과 4차산업혁명을 대비한 스마트팩토리 및 자율주행로봇 부문으로 나뉨. 특히 자율주행로봇 부문은 자체 개발한 자율주행로봇과 일본 ZMP 협력으로 확보한 자율주행솔루션으로 시장을 공략 중임.2023년 12월 전년동기 대비 연결기준 매출액은 17.6% 증가, 영업손실은 250.9% 증가, 당기순손실은 4876.2% 증가. 원/부자재 가격 상승에 따라 원가가 전년대비 원가율 16%p 증가하면서 매출원가 58,488백만원 기록하여 매출총이익은 5,635백만원으로 감소하였음. 급여 784백만원, 지급수수료 1,775백만원 등이 증가하며 판매비와 관리비가 증가하였음.

"
A029960,코엔텍,지정 외 폐기물 처리업,산업폐기물 소각/매립처리,"
매출 저하로 영업이익 감소

1993년 7월 16일 설립돼 2004년 6월 18일자로 코스닥시장에 상장함. 폐기물 산업이란 환경서비스업의 한 부분으로 각종 쓰레기, 폐기물 등을 수집/운반, 처리하는 산업 활동을 말하며, 방사성 폐기물 수집ㆍ운반 및 처리활동을 포함함. 2023년 4분기 기준 동사 소각처리매출은 32.8%, 스팀판매매출은 52.1%, 매립처리매출은 15.1%을 기록함. 모든 매출은 내수시장에서 발생.2023년 12월 전년동기 대비 별도기준 매출액은 12.8% 감소, 영업이익은 28.9% 감소, 당기순이익은 12.2% 감소. 소각부문, 매립부문 등 사업 전반에서 매출이 감소하며 전체 외형이 축소됨. 매출 감소에도 불구 매출원가가 오히려 오르고 판관비와 인건비도 증가하는 등 비용 증가로 영업이익 축소. 폐기물처리 또는 재활용과 관련한 신기술의 개발여지가 많은 편이어서 이와 관련된 자본수요도 증대될 전망임.

"
A297890,HB솔루션,반도체 및 디스플레이 제조용 기계 제조업,"디스플레이 제조용 장비(도포기, 조립기, 검사기)","
전기대비 매출 및 영업이익 감소

동사는 레진 도포 및 접합, 검사 설비 제작 기술과 물성분석기술 등을 바탕으로 디스플레이, 반도체 측정·검사 및 제조설비와 잉크젯 프린팅 기술을 이용한 잉크젯 장비를 생산, 판매함. 전공정에서는 초정밀 분석 측정 장비를 개발 및 생산함. 후공정에서는 모듈 제조 공정의 검사, 조립, 도포 공정자동화시스템을 개발 및 생산. 잉크젯 사업은 DIP 장비 개발 및 납품, 향후 2차전지, 자동차, 바이오사업으로 다각화가 가능할 것으로 예상.2023년 12월 전년동기 대비 연결기준 매출액은 48.7% 감소, 영업이익은 75.1% 감소, 당기순이익은 73.5% 증가. 디스플레이 패널 제조는 디스플레이 패널의 예상 수요 및 관련 전방산업 경기에 따라 디스플레이 생산라인을 증설하거나 신규투자를 수행함. 중에너지 이온 산란 방식 웨이퍼 검사장비를 연구 개발하여 납품한 실적을 보유하고 있으며, 차세대 반도체 장비로 반도체 기업의 수요가 증가할 것으로 예상됨.

"
A038500,삼표시멘트,기타 비금속 광물제품 제조업,"시스템통합(SI), 네트워크장비","
시멘트 가격상승으로 인한 매출 성장

지배회사인 동사 및 종속회사는 시멘트 사업을 영위하고 있으며 시멘트, 크링커, 석회석 등을 제조 및 판매하고 있음 레미콘사업 진출을 위하여 삼표레미콘을 설립하였으며, 2021년 9월 30일자로 삼표산업과 에스피네이처의 레미콘 사업부분을 인수 완료함. 배동환, 이원진 2인 각자대표체계로 전환. 삼표자원개발은 풍부한 매장량을 기반으로 한 시멘트의 주 원료인 양질의 석회석 생산량 전량을 삼표시멘트에 안정적으로 공급중임.2023년 12월 전년동기 대비 연결기준 매출액은 14.2% 증가, 영업이익은 19.1% 증가, 당기순이익은 12% 증가. 시멘트 매출이 1천억 가량 상승하면서 매출 확대. 원재료인 유연탄 가격과 전력비가 상승했으나 단가 인상과 가동률 제고로 인해 이익률 상승 시킴. 연간 60억 예산의 시멘트 전용선의 취역으로, 하역 작업시간 절반 감소 및 부두 혼잡 문제, 일기 변수 문제 대응력 상향.

"
A190510,나무가,전자부품 제조업,"스마트폰 카메라모듈, 노트북 카메라모듈","
전방 사업 축소로 실적 부진

동사는 2004년 10월 14일에 설립되었으며, 주요 사업목적은 ""컴퓨터 및 주변기기 관련의 제조 및 판매, 공급"" 임. 주요 생산 제품은 스마트폰/태블릿 카메라 모듈, 3D 깊이 인식 카메라 모듈로 동사의 카메라 모듈 제품은 글로벌 카메라 고객사의 스마트폰, 태블릿, 노트북 등에 채용되고 있음. 국내에서는 삼성전자에 카메라모듈을 납품하는 카메라모듈 제조사 들이 존재하며, 동사는 삼성전자 1차 협력업체에 속함.2023년 12월 전년동기 대비 연결기준 매출액은 29.6% 감소, 영업이익은 29.8% 감소, 당기순이익은 24.9% 감소. 고화소 카메라모듈 제품군 납품 및 3D 기술 적용 등 핵심기술 역량을 바탕으로 제품의 수익성 및 원가 경쟁력을 더욱 강화했음. 력 제품 경쟁 심화와 IT 산업의 변화가 우리 회사에 대한 위협이 될 수 있으며, 동사는 이에 대비, 각종 역량 확보에 노력을 기울이고 있음.

"
A001780,알루코,"비철금속 압연, 압출 및 연신제품 제조업","알루미늄제품,샷시 제조","
비용 절감을 통한 영업이익 증가

동사는 현대알루미늄,알루텍,KPTU, 알루머티리얼즈 등의 계열사로 구성된 알루코 그룹의 주력 계열사임. 알루미늄 압출품 제조dhk 판매를 주로하는 알루미늄 압출 전문 회사로서 대전공장을 보유하고 있으며, 본사와 해외법인 및 계열회사는 알루미늄 제조 관련 사업으로 수직적 사업부문을 영위하고 있음. 영업부문은 시판영업, 직판영업, 특수영업, 디스플레이·EVC영업, 건축영업으로 구성됨.2023년 12월 전년동기 대비 연결기준 매출액은 8.4% 감소, 영업이익은 8.8% 증가, 당기순이익은 33% 증가. 판관비가 556억원으로 전년 동기 대비 20% 감소하는 등 비용 절감 노력으로 매출액이 감소했음에도 영업이익은 증가함. 변화된 경영환경을 면밀히 분석해 자동차배터리 케이스 및 태양광프레임 사업 등 미래사업을 위해 선제적으로 대응책을 강구하고 있음.

"
A089980,상아프론테크,플라스틱제품 제조업,"LCD부품,사무기기부품,PCB부품,2차전지부품","
영업이익률 감소

동사는 1986년 설립되어 슈퍼엔지니어링 플라스틱의 핵심기반 원천기술을 통한 부품 제조업을 영위하고 있음. 부품사업은 2차전지, 자동차, 의료기기 제품의 부품을 생산하고 있으며, 소재사업은프린터 BELT, 반도체 패키징, PCB 드릴가공, 멤브레인 등의 소재류를 생산하고 있음. 장비사업은 반도체와 태양광 사업의 WAFER, DISPALY 사업의 PANEL 보관 및 이송을 위한 캐리어 장비를 생산하고 있음.2023년 12월 전년동기 대비 연결기준 매출액은 1.3% 증가, 영업이익은 30.6% 감소, 당기순이익은 61.5% 증가. 동사 매출액은 자동차와 2차전지 등의 부품사업과  프린터, 반도체 등의 소재사업의 판매확대로 전년대비 1.3% 증가했음. 수익성 지표 측면에서 매출총이익율은 전년대비 -2.5%p 감소한 19.7%를 기록하였으며, 영업이익율은 전년대비 -2.2%p 감소한 4.9%를 기록했음.

"
A080160,모두투어,여행사업,"항공권판매수수료,해외여행알선","
펜더믹 종결로 인한 성장가도

동사는 관광진흥법에 근거하여 일반여행알선업, 항공권 및 선표 발권 판매업 등을 영위할 목적으로 1989년 설립되었음. 여행알선 서비스는 여행상품을 B2B 위주로 판매 하고 있음. 호텔위탁운영 및 대행 서비스는 B2B와 B2C 채널을 통해 판매 및 호텔을 운영하고 있음. 부동산투자 부문은 기관 및 개인투자자들로부터 자금을 확보하여 부동산 및 부동산 관련 증권에 투자, 금융기관에 예치, 부동산 임대차 등으로 수익을 창출하고 있음.2023년 12월 전년동기 대비 연결기준 매출액은 506.4% 증가, 영업이익 흑자전환, 당기순이익 흑자전환. 동사 및 연결종속회사의 단순합계 매출 중 여행알선 서비스 부문의 매출 비중은 92.0%, 부동산 투자 부문의 비중은 6.6%임. UN WTO는 올해 해외여행 관광이 팬더믹 이전 수준의 80~95%까지 회복될 것으로 예상하고 있음. 세계여행시장 회복과 유사한 흐름으로 한국의 해외여행시장도 회복 할것으로 예상됨.

"
A012030,DB,"컴퓨터시스템 통합 자문, 구축 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리","
매출, 영업이익 급상승

동사의 사업 부문은 연결대상회사이자 주요종속회사인 디비에프아이에스를 포함하여 크게 IT분야의 SI 및 ITO서비스 중심의 IT사업부문이 있음. 화학 및 철강제품 등의 무역업을 영위하는 무역사업부문, 'DB' 상표권 관리를 비롯해 그룹의 브랜드와 광고 활동을 총괄하는 브랜드사업부문으로 구성되어 있음. 어플리케이션 사업은 고객 비즈니스에 중요한 상품관리, 고객관리, 정보관리 등의 업무를 처리하는 어플리케이션을 안정적으로 운영함.2023년 12월 전년동기 대비 연결기준 매출액은 14.3% 증가, 영업이익은 56.8% 증가, 당기순이익은 254.9% 증가. 주력 사업부문인 IT사업부문의 매출액은 2,669억원이고, 무역사업부문은 1,452억원, 브랜드사업부문은 421억원을 거둠. 동사는 강점이자 주력사업인 IT사업을 중심으로 한 안정적 수익기반을 다지고 재무안정성을 높이는데 주력할 계획임.

"
A008490,서흥,그 외 기타 화학제품 제조업,"의약품(하드캅셀,건강보조식품,소프트캅셀),건강보조식품,인삼제품 제조,판매","
캡슐 생산능력 증가했으나 매출은 부진

동사는 1973년 설립되어 1990년 한국거래소에 상장했으며 하드캡슐, 의약품 및 건강기능식품, 화장품 및 젤라틴 부문 사업을 영위하는 제조 전문기업임. 하드캡슐부문은 동사가 국내 시장 1위(시장점유율 약 95%), 글로벌 3위(시장점유율 약 7%)의 시장지위를 보유하고 있음. 9개의 종속법인을 보유하고 있으며 각 기업들은 젤라틴, 캡슐, 건강기능식품 등 제조 및 판매, 부동산 임대업 등을 영위하고 있음.2023년 12월 전년동기 대비 연결기준 매출액은 6.4% 감소, 영업이익은 30.6% 감소, 당기순이익은 82% 감소. 매출 역성장과 더불어 원가율이 크게 오르면서 매출이익률이 악화됨. 특히 판매관리비를 크게 줄였음에도 영업이익은 30.6% 감소함. 전체 매출비중 40% 이상 차지하던 건강기능식품의 매출이 2년 연속 역성장하며 32%수준으로 감소함. 하드캡슐 부분은 꾸준히 성장 중.

"
A123860,아나패스,전자집적회로 제조업,Timing Controller(TCON),"
신기술 개발과 차별화된 고객지원

동사의 주력제품은 T-Con(Timing Controller) 및 TED(TCON Embedded Driver) IC임. 동사는 제품 생산을 외주위탁하는 팹리스 업체로서, 고객사인 패널업체가 요구하는 사양에 따라 다양한 형태의 주문형 반도체(ASIC)를 개발하여 공급하고 있음 동사의 특허인 AiPi 기술은 우수한 기술력을 시장에서 인정받고 있고 있으며, 고객사의 표준기술로 채택되어 원가 절감과 시장 선도에 기여한 바 있음.2023년 12월 전년동기 대비 별도기준 매출액은 65.1% 증가, 영업이익 흑자전환, 당기순이익 흑자전환. 고기능, 고사양을 통한 SET 제조원가 절감방안 제시하고, 고집적, 공정다변화를 통한 칩제조원가 절감 및 수익성을 확보하고자 함. 세계적인 디스플레이 부품기업과 경쟁하기 위해 빠르게 변화하는 기술수요를 파악하여 선행제품을 개발함으로써 새로운 수요를 창출하여 글로벌 고객기반을 갖추고자 함.

"
A265520,AP시스템,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조 장비,"
다변화 추진

동사의 주요사업은 장비 연구개발 및 제조 사업으로, AMOLED/LCD 등 디스플레이장비, 반도체장비, 2차전지제조장비 등을 영위하고 있음. 동사의 AMOLED 대표 장비는 크게 세 종류로 LTPS공정 ELA장비, 봉지공정장비, Laser Lift Off장비로 구성됨. 사업포트폴리오 다각화를 위해 전기자동차와 함께 급성장하고 있는 이차전지 장비사업에 진출하였음.2023년 12월 전년동기 대비 연결기준 매출액은 9.7% 증가, 영업이익은 33.6% 감소, 당기순이익은 27% 감소. 2023년 연결재무제표 누적기준 매출액은 5,336억원이며 이 중 수출은 3,286억원, 국내 매출은 2,050억원으로, 디스플레이 사업부문이 70%이상을 차지함. 지속적인 R&D를 통해 2차전지 제조장비 포트폴리오와 고객사의 다변화를 추진하고 있음.

"
A217270,넵튠,소프트웨어 개발 및 공급업,모바일게임,"
캐주얼 게임 매출 견인

동사의 주력 사업 분야는 모바일 게임의 제작이며 장르는 캐주얼게임 및 퍼즐게임을 서비스하고 있음. 캐주얼게임으로 ""LINE 퍼즐탄탄"", ""프렌즈사천성 for KaKao""이며 MOBA 게임으로 ""이터널 리턴"" 등 서비스 되고 있음 적극적인 M&A를 통해서 다양한 장르의 라인업을 확보하고 있으며, 종속회사는 소셜카지노게임, MOBA, RPG, 퍼즐, 디펜스 장르 등을 개발 및 서비스함.2023년 12월 전년동기 대비 연결기준 매출액은 238.5% 증가, 영업이익 흑자전환, 당기순손실은 90.3% 감소. 온라인 게임 ‘이터널 리턴’의 인기 반등 중. 앞서 3년간의 얼리 액세스를 마치고 최근 정식 서비스를 시작함. 게임 개발사 마그넷, 마케팅 및 광고업체 리메이크디지털, 시스템 및 소프트웨어 개발·공급업체 애드엑스플라가 합병 대상. 자회사 합병을 통해  사업 고도화가 이뤄질 것으로 기대됨.

"
